iter	Passed	Remaining
0	119	119205
1	140	69867
2	158	52681
3	176	44041
4	194	38756
5	211	35101
6	229	32487
7	247	30646
8	264	29176
9	286	28371
10	307	27611
11	330	27180
12	361	27433
13	390	27479
14	410	26969
15	440	27098
16	556	32161
17	603	32903
18	623	32205
19	650	31872
20	684	31910
21	720	32042
22	752	31981
23	789	32119
24	819	31976
25	848	31773
26	873	31495
27	899	31234
28	929	31136
29	964	31174
30	996	31137
31	1026	31042
32	1069	31332
33	1099	31243
34	1121	30919
35	1145	30685
36	1169	30430
37	1197	30309
38	1218	30022
39	1242	29809
40	1274	29817
41	1307	29828
42	1341	29859
43	1376	29904
44	1411	29949
45	1438	29827
46	1464	29691
47	1493	29617
48	1516	29426
49	1539	29256
50	1561	29049
51	1585	28910
52	1614	28852
53	1645	28821
54	1678	28847
55	1715	28913
56	1742	28834
57	1767	28712
58	1790	28553
59	1812	28395
60	1836	28277
61	1862	28175
62	1886	28053
63	1916	28031
64	1953	28101
65	1983	28068
66	2016	28074
67	2049	28095
68	2078	28038
69	2101	27922
70	2130	27870
71	2161	27860
72	2189	27809
73	2216	27739
74	2244	27685
75	2272	27623
76	2297	27544
77	2324	27479
78	2358	27495
79	2393	27527
80	2427	27543
81	2467	27627
82	2505	27682
83	2531	27601
84	2559	27557
85	2593	27568
86	2630	27601
87	2664	27616
88	2693	27569
89	2720	27506
90	2746	27438
91	2784	27484
92	2820	27511
93	2861	27581
94	2895	27586
95	2922	27515
96	2953	27495
97	2981	27443
98	3005	27355
99	3031	27283
100	3055	27195
101	3081	27132
102	3105	27048
103	3131	26976
104	3152	26868
105	3172	26757
106	3197	26689
107	3224	26628
108	3255	26610
109	3288	26608
110	3320	26592
111	3350	26567
112	3384	26568
113	3410	26507
114	3436	26443
115	3465	26407
116	3486	26315
117	3512	26250
118	3541	26216
119	3566	26151
120	3590	26086
121	3616	26023
122	3639	25947
123	3662	25875
124	3685	25795
125	3708	25726
126	3733	25663
127	3767	25668
128	3798	25644
129	3831	25642
130	3863	25629
131	3894	25607
132	3920	25554
133	3944	25494
134	3972	25451
135	3995	25385
136	4022	25340
137	4044	25262
138	4066	25187
139	4087	25106
140	4108	25027
141	4129	24951
142	4153	24890
143	4174	24813
144	4198	24759
145	4226	24722
146	4259	24716
147	4289	24695
148	4320	24674
149	4351	24659
150	4386	24664
151	4417	24644
152	4438	24572
153	4462	24516
154	4484	24446
155	4505	24376
156	4529	24318
157	4553	24267
158	4580	24226
159	4604	24172
160	4633	24148
161	4657	24095
162	4681	24040
163	4704	23983
164	4731	23943
165	4754	23886
166	4779	23841
167	4815	23847
168	4851	23856
169	4884	23847
170	4918	23844
171	4947	23818
172	4979	23804
173	5011	23789
174	5035	23737
175	5060	23693
176	5084	23640
177	5110	23598
178	5132	23540
179	5159	23502
180	5182	23451
181	5209	23414
182	5236	23379
183	5262	23338
184	5295	23328
185	5328	23317
186	5356	23286
187	5395	23302
188	5435	23324
189	5479	23359
190	5523	23393
191	5552	23364
192	5576	23315
193	5599	23265
194	5623	23213
195	5649	23172
196	5679	23152
197	5709	23126
198	5738	23096
199	5764	23057
200	5787	23006
201	5815	22975
202	5839	22927
203	5866	22889
204	5894	22857
205	5931	22860
206	5960	22834
207	5985	22792
208	6010	22748
209	6036	22710
210	6073	22712
211	6109	22708
212	6147	22713
213	6180	22700
214	6205	22658
215	6233	22623
216	6257	22578
217	6279	22525
218	6306	22489
219	6331	22446
220	6360	22419
221	6384	22373
222	6408	22328
223	6430	22276
224	6458	22245
225	6482	22200
226	6506	22156
227	6529	22107
228	6556	22073
229	6585	22048
230	6608	22000
231	6632	21954
232	6658	21919
233	6689	21897
234	6723	21886
235	6755	21869
236	6789	21858
237	6858	21957
238	6884	21920
239	6906	21869
240	6932	21833
241	6960	21800
242	6985	21760
243	7009	21717
244	7035	21681
245	7063	21650
246	7087	21605
247	7113	21570
248	7134	21518
249	7156	21469
250	7180	21426
251	7203	21382
252	7233	21356
253	7267	21343
254	7295	21312
255	7320	21274
256	7350	21249
257	7382	21232
258	7414	21213
259	7448	21198
260	7489	21207
261	7514	21167
262	7538	21126
263	7560	21078
264	7586	21041
265	7610	21000
266	7635	20962
267	7670	20950
268	7702	20930
269	7722	20880
270	7742	20827
271	7770	20798
272	7799	20769
273	7823	20730
274	7849	20693
275	7874	20657
276	7903	20628
277	7931	20600
278	7958	20565
279	7986	20536
280	8018	20515
281	8046	20487
282	8072	20453
283	8115	20460
284	8158	20467
285	8194	20458
286	8244	20481
287	8270	20445
288	8298	20416
289	8324	20380
290	8349	20342
291	8380	20318
292	8408	20289
293	8435	20257
294	8463	20226
295	8492	20198
296	8517	20161
297	8547	20136
298	8592	20145
299	8628	20133
300	8658	20107
301	8683	20069
302	8712	20041
303	8738	20007
304	8762	19966
305	8789	19933
306	8818	19905
307	8846	19875
308	8877	19852
309	8911	19834
310	8950	19829
311	8977	19796
312	9007	19770
313	9033	19735
314	9057	19695
315	9084	19662
316	9104	19617
317	9125	19570
318	9151	19535
319	9172	19491
320	9198	19457
321	9223	19421
322	9253	19395
323	9274	19351
324	9302	19319
325	9324	19278
326	9350	19244
327	9377	19213
328	9405	19181
329	9433	19152
330	9462	19125
331	9486	19087
332	9510	19050
333	9534	19012
334	9569	18996
335	9600	18971
336	9633	18953
337	9670	18939
338	9697	18907
339	9720	18869
340	9741	18826
341	9763	18784
342	9786	18744
343	9807	18702
344	9826	18656
345	9846	18611
346	9868	18571
347	9891	18532
348	9921	18507
349	9946	18471
350	9971	18437
351	9998	18406
352	10021	18368
353	10047	18335
354	10072	18300
355	10099	18269
356	10123	18234
357	10149	18200
358	10174	18166
359	10200	18134
360	10224	18097
361	10249	18064
362	10273	18029
363	10298	17994
364	10318	17950
365	10345	17920
366	10381	17905
367	10414	17885
368	10446	17864
369	10478	17841
370	10510	17820
371	10532	17781
372	10559	17750
373	10587	17721
374	10620	17701
375	10646	17668
376	10671	17634
377	10695	17598
378	10721	17567
379	10742	17527
380	10764	17489
381	10789	17455
382	10812	17419
383	10837	17385
384	10861	17350
385	10886	17316
386	10913	17286
387	10956	17281
388	10987	17257
389	11024	17242
390	11051	17213
391	11076	17180
392	11102	17147
393	11128	17116
394	11155	17085
395	11193	17073
396	11238	17070
397	11275	17054
398	11312	17039
399	11341	17011
400	11367	16979
401	11395	16951
402	11427	16929
403	11456	16901
404	11486	16874
405	11512	16843
406	11535	16807
407	11560	16774
408	11583	16738
409	11606	16702
410	11629	16666
411	11658	16639
412	11683	16605
413	11708	16572
414	11729	16534
415	11751	16497
416	11776	16464
417	11797	16425
418	11817	16386
419	11839	16350
420	11861	16313
421	11887	16282
422	11915	16253
423	11940	16220
424	11964	16187
425	11992	16159
426	12016	16125
427	12042	16094
428	12074	16071
429	12106	16048
430	12144	16032
431	12176	16009
432	12208	15986
433	12233	15953
434	12255	15918
435	12282	15888
436	12304	15852
437	12326	15816
438	12354	15787
439	12381	15758
440	12408	15728
441	12437	15702
442	12464	15671
443	12490	15641
444	12521	15616
445	12547	15586
446	12573	15555
447	12599	15524
448	12625	15493
449	12652	15464
450	12674	15428
451	12698	15395
452	12720	15360
453	12740	15322
454	12763	15287
455	12787	15255
456	12811	15222
457	12836	15190
458	12862	15160
459	12887	15129
460	12919	15105
461	12950	15081
462	12995	15073
463	13035	15058
464	13074	15042
465	13103	15015
466	13129	14985
467	13156	14955
468	13182	14925
469	13212	14899
470	13233	14863
471	13258	14831
472	13288	14805
473	13312	14772
474	13336	14740
475	13358	14705
476	13382	14672
477	13411	14645
478	13444	14623
479	13472	14594
480	13496	14562
481	13523	14533
482	13547	14501
483	13578	14475
484	13605	14446
485	13628	14413
486	13653	14382
487	13678	14351
488	13703	14320
489	13732	14293
490	13767	14272
491	13798	14246
492	13823	14215
493	13854	14190
494	13905	14186
495	13935	14160
496	13970	14139
497	14006	14118
498	14034	14090
499	14054	14054
500	14082	14026
501	14114	14001
502	14144	13975
503	14167	13942
504	14195	13914
505	14217	13880
506	14240	13846
507	14265	13815
508	14285	13780
509	14316	13754
510	14343	13725
511	14366	13693
512	14390	13661
513	14413	13628
514	14436	13595
515	14462	13565
516	14486	13533
517	14511	13502
518	14543	13478
519	14570	13449
520	14593	13416
521	14613	13381
522	14638	13351
523	14662	13319
524	14682	13284
525	14707	13253
526	14729	13219
527	14749	13184
528	14775	13155
529	14814	13137
530	14839	13107
531	14870	13081
532	14903	13058
533	14944	13041
534	14980	13020
535	15014	12997
536	15036	12964
537	15060	12933
538	15082	12900
539	15102	12864
540	15121	12829
541	15146	12799
542	15166	12764
543	15187	12730
544	15212	12699
545	15234	12667
546	15258	12636
547	15283	12605
